Time,Draw_Load2,Draw_Disp2,Draw_Load3,Draw_Disp3,Pin_Load2,Pin_Disp2,Pin_Load3,Pin_Disp3
0:00:00,0,0.324,0,0.284,0,0.203,0,0.155
0:00:01,1,1.325,0,1.277,0,1.18,0,1.132
0:00:02,10,2.325,9,2.283,11,2.188,2,2.14
0:00:03,22,3.324,17,3.275,25,3.18,5,3.131
0:00:04,34,4.325,27,4.283,38,4.186,11,4.139
0:00:05,44,5.326,37,5.275,51,5.18,18,5.131
0:00:06,56,6.325,47,6.283,63,6.186,26,6.139
0:00:07,67,6.325,56,7.275,74,7.178,35,7.131
0:00:08,78,8.325,66,8.282,84,8.186,46,8.138
0:00:09,88,9.326,76,9.273,94,9.178,56,9.13
0:00:10,99,10.325,86,10.282,105,10.186,65,10.138
0:00:11,110,11.324,96,11.274,114,11.177,75,11.13
0:00:12,120,12.325,106,12.28,124,12.185,85,12.138
0:00:13,130,13.324,116,13.272,134,13.176,94,13.128
0:00:14,141,14.325,125,14.28,144,14.185,104,14.136
0:00:15,150,14.325,135,15.272,153,15.176,113,15.128
0:00:16,160,16.325,145,16.28,163,16.184,123,16.136
0:00:17,171,17.324,155,17.27,172,16.184,132,17.128
0:00:18,180,18.325,164,18.278,182,18.183,140,18.134
0:00:19,190,19.324,174,19.27,191,19.191,151,19.142
0:00:20,199,19.324,184,20.278,200,20.183,160,20.134
0:00:21,209,21.324,193,21.27,209,21.191,170,21.142
0:00:22,219,22.325,203,22.278,216,22.181,179,22.134
0:00:23,229,23.324,212,23.268,224,23.189,189,23.14
0:00:24,238,24.325,222,24.276,232,24.181,198,24.132
0:00:25,247,25.324,231,25.268,240,25.189,208,25.14
0:00:26,256,26.325,240,26.276,247,26.181,217,26.132
0:00:27,265,27.324,249,27.284,255,27.187,227,27.14
0:00:28,274,28.325,259,28.274,263,28.179,235,28.132
0:00:29,283,29.324,267,29.282,271,29.187,244,29.138
0:00:30,292,29.324,276,30.274,279,30.179,253,30.13
0:00:31,301,31.324,285,31.282,286,31.187,262,31.138
0:00:32,309,32.324,295,32.274,293,32.179,271,32.13
0:00:33,317,33.324,304,33.28,301,33.185,279,33.138
0:00:34,326,34.324,312,34.272,308,34.177,288,34.128
0:00:35,334,34.324,320,35.28,315,35.185,296,35.136
0:00:36,342,36.323,329,36.272,323,36.177,304,36.128
0:00:37,349,37.323,338,37.28,330,37.185,311,37.136
0:00:38,357,38.322,346,38.27,337,38.175,320,38.128
0:00:39,365,39.323,354,39.278,343,39.183,328,39.134
0:00:40,372,40.322,362,40.27,351,40.175,336,40.126
0:00:41,379,41.323,370,41.278,357,41.183,343,41.134
0:00:42,387,42.322,377,42.268,365,42.175,349,42.126
0:00:43,394,43.323,386,43.276,371,43.181,357,43.134
0:00:44,401,44.322,394,44.268,378,44.173,365,44.126
0:00:45,409,45.323,402,45.276,384,45.181,373,45.132
0:00:46,416,46.322,409,46.268,391,46.189,379,46.14
0:00:47,424,47.323,416,47.276,398,47.181,387,47.132
0:00:48,430,48.322,425,48.267,405,48.187,393,48.14
0:00:49,437,49.323,432,49.275,411,49.179,400,49.132
0:00:50,445,50.322,440,50.267,418,50.187,408,50.139
0:00:51,453,51.323,448,51.274,424,51.179,415,51.13
0:00:52,460,52.322,455,52.267,431,52.187,422,52.138
0:00:53,467,53.323,463,53.276,437,53.179,429,53.13
0:00:54,473,54.322,470,54.281,444,54.185,435,54.138
0:00:55,480,55.323,476,55.273,450,55.177,442,55.13
0:00:56,485,56.322,484,56.281,456,56.185,449,56.137
0:00:57,491,57.323,490,57.272,463,57.177,455,57.129
0:00:58,499,58.322,496,58.279,469,58.185,462,58.137
0:00:59,506,59.323,504,59.271,475,59.175,469,59.128
0:01:00,511,60.322,510,60.279,481,60.183,475,60.135
0:01:01,518,61.323,517,61.271,488,61.175,481,61.127
0:01:02,525,62.322,524,62.279,494,62.183,488,62.135
0:01:03,532,63.323,531,63.269,500,63.175,495,63.127
0:01:04,538,63.323,538,64.277,506,64.182,502,64.135
0:01:05,543,65.321,544,65.269,513,65.175,508,65.127
0:01:06,550,66.322,550,66.277,519,66.182,515,66.133
0:01:07,556,67.321,556,67.269,525,67.174,521,67.125
0:01:08,562,68.322,563,68.275,531,68.181,529,68.133
0:01:09,569,69.321,569,69.267,537,69.173,536,69.125
0:01:10,576,70.322,575,70.275,543,70.181,542,70.133
0:01:11,583,71.321,582,71.267,549,71.172,549,71.123
0:01:12,590,71.321,589,72.275,555,72.18,556,72.131
0:01:13,596,73.321,595,73.267,561,73.187,562,73.139
0:01:14,602,74.322,602,74.273,567,74.18,569,74.131
0:01:15,609,75.321,608,75.265,572,75.186,576,75.139
0:01:16,615,75.321,614,76.273,578,76.178,583,76.129
0:01:17,622,77.321,621,77.265,584,77.186,590,77.137
0:01:18,628,78.322,627,78.273,590,78.178,596,78.129
0:01:19,635,79.321,634,78.273,596,79.186,604,79.137
0:01:20,640,80.321,639,80.271,602,80.178,610,80.145
0:01:21,644,81.321,644,81.279,607,81.184,618,81.137
0:01:22,651,82.32,649,82.271,613,82.176,624,82.127
0:01:23,657,83.321,656,83.277,619,83.184,631,83.135
0:01:24,663,84.32,662,84.269,625,84.176,638,84.127
0:01:25,669,84.32,669,85.277,631,85.184,645,85.135
0:01:26,675,86.32,674,86.269,637,86.176,652,86.127
0:01:27,682,87.32,680,87.277,643,87.182,658,87.133
0:01:28,687,88.32,686,88.269,649,88.174,665,88.125
0:01:29,693,89.32,692,89.275,655,89.182,672,89.133
0:01:30,700,90.32,698,90.267,661,90.174,679,90.125
0:01:31,706,91.32,704,91.275,667,91.182,685,91.133
0:01:32,712,92.319,710,92.267,673,92.174,693,92.123
0:01:33,718,93.32,715,93.275,679,93.18,700,93.131
0:01:34,725,94.319,721,94.265,685,94.172,707,94.123
0:01:35,730,95.32,727,95.274,691,95.18,714,95.131
0:01:36,735,96.319,732,96.265,696,96.172,721,96.123
0:01:37,741,97.32,738,97.273,702,97.18,728,97.129
0:01:38,748,98.319,744,98.265,708,98.17,735,98.121
0:01:39,754,99.32,749,99.272,714,99.178,742,99.129
0:01:40,759,100.319,755,100.264,720,99.178,749,100.121
0:01:41,765,101.32,761,101.271,726,101.178,756,101.129
0:01:42,771,102.319,766,102.263,732,102.186,762,102.136
0:01:43,777,103.32,771,103.271,738,103.176,769,103.127
0:01:44,783,104.319,778,104.262,744,104.184,776,104.135
